0,0
49,42
61,53
35,34
43,58
34,6
64,94
75,54
18,12
67,12
16,61
15,15
34,32
27,76
11,92
11,66
93,13
60,7
18,95
41,61
5,76
19,70
22,47
76,40
59,44
4,27
57,20
42,44
52,21
72,15
65,84
81,59
49,93
66,67
89,59
81,46
87,0
68,9
47,45
1,58
41,6
85,98
78,28
42,30
49,67
98,15
51,31
26,52
25,44
71,14
3,52
12,91
5,81
52,52
78,54
63,19
12,48
69,90
28,64
72,78
31,70
45,34
2,23
86,27
67,57
93,70
62,57
13,67
38,66
71,16
72,34
87,84
83,57
26,11
21,98
41,52
21,38
86,75
61,24
2,28
81,47
51,43
4,64
62,95
82,34
11,6
68,99
90,3
56,68
67,29
19,60
33,40
99,71
15,12
95,69
93,28
68,44
24,72
60,86
100,100
